season,race,driver,fp2_mean_lap,fp2_std_lap,fp2_best_lap,fp2_laps_count,best_quali_lap,best_quali_lap_number,best_quali_compound,fp2_deg_slope,position,win,dnf
2022,Belgian Grand Prix,BOT,126.25342857142856,15.736599386898565,108.419,14,107.866,2,SOFT,3.121579343629344,14,0,1
2022,Belgian Grand Prix,GAS,122.09672727272728,14.01522908190165,107.782,11,105.827,11,SOFT,-0.7488389830508465,9,0,1
2022,Belgian Grand Prix,LAT,125.84081818181818,15.345968948347195,108.612,11,106.401,6,SOFT,,18,0,1
2022,Belgian Grand Prix,LEC,119.30078571428572,12.684174138111402,106.369,14,104.551,9,SOFT,1.1269923076923078,5,0,1
2022,Belgian Grand Prix,MAG,120.04972727272728,11.959873453267882,108.208,11,106.557,5,SOFT,,16,0,1
2022,Belgian Grand Prix,MSC,120.827,11.085255453555783,109.941,18,106.342,7,SOFT,0.7639129870129866,17,0,1
2022,Belgian Grand Prix,NOR,121.9009090909091,13.997030309708872,106.589,11,105.603,8,SOFT,,12,0,1
2022,Belgian Grand Prix,OCO,121.01853333333334,13.688920289607871,107.944,15,105.18,12,SOFT,-0.3921609589041085,7,0,1
2022,Belgian Grand Prix,PER,125.45845454545456,15.63347391569536,107.346,11,104.462,8,SOFT,-1.45060810810811,2,0,1
2022,Belgian Grand Prix,RIC,121.49927272727273,14.282674021981384,107.255,11,105.767,8,SOFT,7.4426,15,0,1
2022,Belgian Grand Prix,RUS,121.19870588235295,13.22326189790508,107.042,17,105.461,13,SOFT,3.155057142857143,4,0,1
2022,Belgian Grand Prix,SAI,116.67816666666666,10.643031726596204,106.649,12,104.297,10,SOFT,,3,0,1
2022,Belgian Grand Prix,STR,119.5638,13.271565710194109,106.635,10,106.256,5,SOFT,0.1176976744186057,11,0,1
2022,Belgian Grand Prix,TSU,124.5645,17.710478230885425,107.658,10,106.692,2,SOFT,1.759,13,0,1
2022,Belgian Grand Prix,VER,117.0535,11.135901543288632,105.507,12,103.665,8,SOFT,,1,1,1
2022,Belgian Grand Prix,VET,118.96016666666668,10.480922390301114,107.867,12,106.344,5,SOFT,0.6917738095238094,8,0,1
2022,Belgian Grand Prix,ZHO,127.63433333333334,16.104757591942764,107.617,15,106.085,11,SOFT,0.2753095238095244,14,0,1
2022,British Grand Prix,ALO,107.638,19.462002367005645,89.695,16,101.598,7,INTERMEDIATE,0.0053988095238096,5,0,1
2022,British Grand Prix,BOT,104.01103846153843,15.282889853638988,90.0,26,101.396,10,INTERMEDIATE,-2.483804761904762,11,0,1
2022,British Grand Prix,GAS,101.68612,11.587506984248169,90.51,25,101.68,9,INTERMEDIATE,0.7187475468975477,14,0,1
2022,British Grand Prix,HAM,102.798,14.003457900692624,89.105,18,100.428,10,INTERMEDIATE,3.4482261904761904,3,0,1
2022,British Grand Prix,LAT,107.979625,18.851825873540857,91.326,24,101.998,10,INTERMEDIATE,-0.4309333333333336,12,0,1
2022,British Grand Prix,LEC,106.1274761904762,19.04451543258333,89.404,21,99.846,10,INTERMEDIATE,1.7059761904761903,4,0,1
2022,British Grand Prix,MAG,105.01670833333333,15.834672172933526,90.48,24,102.159,10,INTERMEDIATE,2.044548917748919,10,0,1
2022,British Grand Prix,MSC,102.84215384615383,14.081517496895872,90.609,26,102.708,10,INTERMEDIATE,1.261597613497612,8,0,1
2022,British Grand Prix,NOR,103.29664,17.025996169779123,89.118,25,101.515,8,INTERMEDIATE,0.7876249084249085,6,0,1
2022,British Grand Prix,OCO,108.6949,20.58484905863209,90.238,10,101.73,7,INTERMEDIATE,1.0084571428571425,8,0,1
2022,British Grand Prix,PER,108.71115384615383,20.915647009062194,89.753,13,100.521,9,INTERMEDIATE,,2,0,1
2022,British Grand Prix,RIC,102.8613181818182,14.796994113626637,89.902,22,101.933,9,INTERMEDIATE,2.04402196969697,13,0,1
2022,British Grand Prix,SAI,105.53964,17.433199827914553,88.942,25,100.19,10,INTERMEDIATE,-0.1386715367965362,1,1,1
2022,British Grand Prix,STR,103.24507692307694,16.874436684235015,89.942,13,103.43,9,INTERMEDIATE,0.0271333333333332,11,0,1
2022,British Grand Prix,TSU,104.63534615384616,15.198274965119715,90.338,26,101.893,9,INTERMEDIATE,1.3852505050505055,14,0,1
2022,British Grand Prix,VER,103.361,18.09692488539676,89.149,14,99.129,9,INTERMEDIATE,0.9890173745173738,7,0,1
2022,British Grand Prix,VET,105.18070588235295,15.112248197921716,90.057,17,102.666,8,INTERMEDIATE,4.168648809523809,9,0,1
2022,Canadian Grand Prix,ALB,89.45425925925926,15.36393860158509,76.171,27,86.858,20,INTERMEDIATE,-0.2148256410256406,13,0,1
2022,Canadian Grand Prix,ALO,86.6017619047619,14.32783090668215,74.543,21,81.944,28,INTERMEDIATE,-1.4188634920634915,7,0,1
2022,Canadian Grand Prix,GAS,89.73064516129033,18.66775779885091,74.879,31,94.492,10,WET,-0.7751234254307784,14,0,1
2022,Canadian Grand Prix,HAM,90.99547619047618,16.159942322356997,75.421,21,82.891,29,INTERMEDIATE,-0.6433428571428574,3,0,1
2022,Canadian Grand Prix,LAT,89.62308333333334,16.295925862984404,76.509,24,95.66,10,WET,0.2916989010989003,16,0,1
2022,Canadian Grand Prix,LEC,90.67,19.6226512479838,74.208,29,93.008,9,WET,-1.947998214285714,5,0,1
2022,Canadian Grand Prix,MAG,86.60548387096775,13.185949825150928,75.499,31,82.96,29,INTERMEDIATE,0.2533455821955828,17,0,1
2022,Canadian Grand Prix,MSC,87.16115625,12.495035153649129,75.516,32,83.356,30,INTERMEDIATE,-0.5810101565101563,7,0,1
2022,Canadian Grand Prix,NOR,86.61974074074075,11.785809249303531,74.987,27,94.066,9,WET,-0.3400983405483411,15,0,1
2022,Canadian Grand Prix,OCO,89.34855172413793,18.222835608469403,75.119,29,83.529,29,INTERMEDIATE,2.876953950216451,6,0,1
2022,Canadian Grand Prix,PER,91.40292307692307,18.098879041361823,75.167,26,93.127,13,INTERMEDIATE,3.1659109890109893,10,0,1
2022,Canadian Grand Prix,RIC,91.02478571428573,16.65293380527141,75.033,28,83.749,27,INTERMEDIATE,-0.8092606060606067,11,0,1
2022,Canadian Grand Prix,RUS,86.62692857142858,14.646846407961434,74.971,28,83.557,25,INTERMEDIATE,0.8925440476190477,4,0,1
2022,Canadian Grand Prix,SAI,91.43575862068964,18.294548414477333,74.352,29,82.096,28,INTERMEDIATE,0.6572071428571423,2,0,1
2022,Canadian Grand Prix,STR,88.06470967741934,14.70309463388246,75.396,31,95.532,9,WET,0.1983956043956046,10,0,1
2022,Canadian Grand Prix,TSU,89.04688235294118,12.88973409172729,75.567,34,96.575,3,WET,0.055659215784216,15,0,1
2022,Canadian Grand Prix,VER,88.14793333333334,16.56410141183666,74.127,30,81.299,29,INTERMEDIATE,0.6151934523809521,1,1,1
2022,Canadian Grand Prix,VET,88.85975,14.98593937340018,74.442,32,94.512,10,WET,2.1588226190476187,12,0,1
2022,Canadian Grand Prix,ZHO,89.77149999999999,15.44819919146757,75.526,28,84.03,30,INTERMEDIATE,-0.4023787337662343,9,0,1
2022,Dutch Grand Prix,ALB,93.84905,21.3143054641342,73.837,20,71.695,8,SOFT,-0.5033124083447656,12,0,1
2022,Dutch Grand Prix,ALO,88.48975,13.78351108304106,72.848,20,71.613,7,SOFT,0.5047212252323126,7,0,1
2022,Dutch Grand Prix,BOT,91.3804761904762,17.08396862154414,74.167,21,71.961,8,SOFT,0.2772075449930781,13,0,1
2022,Dutch Grand Prix,HAM,95.49486666666668,24.169658839328363,72.417,15,70.648,14,SOFT,-0.921279293739968,4,0,1
2022,Dutch Grand Prix,LAT,94.30426315789474,17.55171262881997,74.797,19,73.353,2,SOFT,0.4581319066618305,18,0,1
2022,Dutch Grand Prix,LEC,92.15285714285714,20.501238324271327,72.345,21,70.363,17,SOFT,0.0660306144923282,3,0,1
2022,Dutch Grand Prix,MAG,89.40355,17.740847877664162,74.282,20,72.041,8,SOFT,0.7624171597633136,15,0,1
2022,Dutch Grand Prix,MSC,87.54472727272727,18.98447965145117,73.604,22,71.42,14,SOFT,0.5671132511556242,14,0,1
2022,Dutch Grand Prix,NOR,89.92633333333333,19.13876377162021,72.448,18,71.116,11,SOFT,-0.030617531959301,8,0,1
2022,Dutch Grand Prix,OCO,87.52927272727273,15.613737834361547,73.305,22,71.605,11,SOFT,0.1353733019762012,9,0,1
2022,Dutch Grand Prix,PER,89.7825294117647,16.885120624819532,73.493,17,71.077,15,SOFT,-0.9729682771664376,6,0,1
2022,Dutch Grand Prix,RIC,86.938875,12.44129601009132,73.362,8,72.081,7,SOFT,-0.2382500000000002,17,0,1
2022,Dutch Grand Prix,RUS,91.84909090909092,21.285643460209315,72.655,22,70.824,11,SOFT,-0.385719466399628,2,0,1
2022,Dutch Grand Prix,SAI,88.34208000000001,18.40506056749972,72.349,25,70.434,17,SOFT,-0.1155564732142857,5,0,1
2022,Dutch Grand Prix,STR,89.05921739130436,18.084491215997808,72.746,23,71.416,11,SOFT,-0.1527132133921123,10,0,1
2022,Dutch Grand Prix,TSU,90.68466666666669,16.605471235480824,73.419,15,71.427,8,SOFT,-0.4477906976744186,20,0,1
2022,Dutch Grand Prix,VER,89.86811764705882,18.30444523156313,73.042,17,70.342,11,SOFT,-0.4405973665973669,1,1,1
2022,Dutch Grand Prix,VET,86.33117391304347,13.539349707937747,73.611,23,72.391,5,SOFT,0.258361621137483,13,0,1
2022,Dutch Grand Prix,ZHO,89.43225,14.61781285344771,73.624,20,71.704,14,SOFT,0.3243441172132358,16,0,1
2022,Emilia Romagna Grand Prix,ALB,87.14425,12.18322787886639,80.591,32,123.171,2,SOFT,-0.4480481283422463,12,0,1
2022,Emilia Romagna Grand Prix,ALO,86.69492307692306,12.167010215901286,80.174,26,79.595,14,SOFT,0.3638101398601396,19,0,1
2022,Emilia Romagna Grand Prix,GAS,86.86657142857143,14.259500457972726,80.439,35,80.732,10,SOFT,-0.0032011222910213,13,0,1
2022,Emilia Romagna Grand Prix,HAM,89.09570967741936,16.21599201651166,79.992,31,80.47,11,SOFT,-1.7923404761904775,14,0,1
2022,Emilia Romagna Grand Prix,LAT,87.30844827586208,12.610590222355082,81.263,29,81.971,12,SOFT,0.0751444862155389,16,0,1
2022,Emilia Romagna Grand Prix,LEC,86.2646875,11.633566053665575,79.74,32,78.796,9,SOFT,-0.794840363068304,6,0,1
2022,Emilia Romagna Grand Prix,MAG,87.49148148148149,15.4658113004891,80.74,27,79.902,13,SOFT,1.2374625000000004,9,0,1
2022,Emilia Romagna Grand Prix,MSC,87.22076923076922,14.427060619010913,80.977,26,80.422,12,SOFT,1.0389205294705293,17,0,1
2022,Emilia Romagna Grand Prix,NOR,99.71875,15.995826421809738,83.821,4,79.294,12,SOFT,,3,0,1
2022,Emilia Romagna Grand Prix,OCO,87.67689285714286,13.26561925887475,81.179,28,82.338,6,SOFT,-0.6859205128205129,11,0,1
2022,Emilia Romagna Grand Prix,PER,86.73496774193549,16.841743891263892,79.538,31,79.296,14,SOFT,0.9909212539266722,2,0,1
2022,Emilia Romagna Grand Prix,RUS,90.13220689655172,16.620357707125557,79.457,29,80.383,12,SOFT,0.0213071428571426,4,0,1
2022,Emilia Romagna Grand Prix,STR,88.0544,12.234442070502052,81.149,35,80.342,10,SOFT,1.612555648926237,10,0,1
2022,Emilia Romagna Grand Prix,TSU,86.6790606060606,13.258662540815047,80.381,33,80.474,10,SOFT,0.0223072647682553,7,0,1
2022,Emilia Romagna Grand Prix,VER,87.27105882352942,14.040168340398838,80.371,34,78.793,13,SOFT,-1.0003517175806638,1,1,1
2022,Emilia Romagna Grand Prix,VET,88.12294285714286,12.902648948142064,81.155,35,79.957,14,SOFT,1.6174893217893225,8,0,1
2022,Emilia Romagna Grand Prix,ZHO,87.63106896551724,15.716550936901422,80.498,29,79.73,12,SOFT,0.2015251879699255,15,0,1
2022,French Grand Prix,ALB,111.13327777777778,19.33421117758564,94.653,18,93.307,10,SOFT,0.7491545454545441,13,0,1
2022,French Grand Prix,ALO,110.51326315789474,21.017867311308954,94.259,19,92.552,16,SOFT,-2.42099038054968,6,0,1
2022,French Grand Prix,BOT,113.64909523809524,19.36848713478873,94.264,21,93.034,2,SOFT,-1.1438742424242438,14,0,1
2022,French Grand Prix,GAS,109.97270588235294,20.68530769581609,93.906,17,93.439,4,SOFT,-2.085393159806296,12,0,1
2022,French Grand Prix,HAM,110.53207142857144,17.376781159237865,93.517,14,91.765,18,SOFT,-4.894700000000002,2,0,1
2022,French Grand Prix,LAT,111.60486363636365,20.18039553224025,95.412,22,93.794,5,SOFT,-2.8881090909090923,16,0,1
2022,French Grand Prix,LEC,107.98775,19.26941049608593,92.628,16,90.872,16,SOFT,-1.958375757575758,1,1,1
2022,French Grand Prix,MAG,109.31623529411765,17.604630926724266,93.928,17,92.649,8,SOFT,-1.8527086124401908,14,0,1
2022,French Grand Prix,MSC,110.82713333333332,17.881251381851108,95.195,15,93.114,8,SOFT,-3.03442857142857,15,0,1
2022,French Grand Prix,NOR,110.98626666666664,18.29826330348893,93.607,15,92.032,13,SOFT,3.2876071428571416,7,0,1
2022,French Grand Prix,OCO,107.93063157894736,18.927943041999303,94.66,19,93.048,11,SOFT,-1.4166454545454543,8,0,1
2022,French Grand Prix,PER,108.95418181818182,17.293587122504007,94.06,11,91.335,19,SOFT,-5.291,4,0,1
2022,French Grand Prix,RIC,108.4268125,16.486632873204684,93.984,16,92.922,11,SOFT,2.620541988416989,9,0,1
2022,French Grand Prix,RUS,108.6378,19.12702890792097,93.291,10,92.131,19,SOFT,-4.3599,3,0,1
2022,French Grand Prix,SAI,104.909,14.745900610000051,92.527,16,91.081,5,SOFT,-1.291546428571428,5,0,1
2022,French Grand Prix,STR,111.88175,19.431106989282608,94.595,20,93.439,8,SOFT,-1.8106515151515128,10,0,1
2022,French Grand Prix,TSU,111.78285,18.26882028074063,94.54,20,92.78,19,SOFT,-0.9289226190476196,18,0,1
