season,race,driver,best_quali_lap,best_quali_lap_number,best_quali_compound
2024,Mexico City Grand Prix,MAG,76.886,17,SOFT
2024,Mexico City Grand Prix,NOR,76.26,14,SOFT
2024,Mexico City Grand Prix,OCO,77.617,8,SOFT
2024,Mexico City Grand Prix,PER,77.611,8,SOFT
2024,Mexico City Grand Prix,PIA,77.597,7,SOFT
2024,Mexico City Grand Prix,RUS,76.356,18,SOFT
2024,Mexico City Grand Prix,SAI,75.946,20,SOFT
2024,Mexico City Grand Prix,STR,77.294,11,SOFT
2024,Mexico City Grand Prix,TSU,77.129,8,SOFT
2024,Mexico City Grand Prix,VER,76.171,17,SOFT
2024,Mexico City Grand Prix,ZHO,78.072,8,SOFT
2024,Miami Grand Prix,ALB,88.343,8,SOFT
2024,Miami Grand Prix,ALO,88.427,14,SOFT
2024,Miami Grand Prix,BOT,88.463,5,SOFT
2024,Miami Grand Prix,GAS,87.976,8,SOFT
2024,Miami Grand Prix,HAM,87.697,14,SOFT
2024,Miami Grand Prix,HUL,88.146,20,SOFT
2024,Miami Grand Prix,LEC,87.382,17,SOFT
2024,Miami Grand Prix,MAG,88.619,8,SOFT
2024,Miami Grand Prix,NOR,87.594,20,SOFT
2024,Miami Grand Prix,OCO,88.209,8,SOFT
2024,Miami Grand Prix,PER,87.46,17,SOFT
2024,Miami Grand Prix,PIA,87.675,15,SOFT
2024,Miami Grand Prix,RIC,88.617,2,SOFT
2024,Miami Grand Prix,RUS,88.067,17,SOFT
2024,Miami Grand Prix,SAI,87.455,17,SOFT
2024,Miami Grand Prix,SAR,88.487,7,SOFT
2024,Miami Grand Prix,STR,88.177,8,SOFT
2024,Miami Grand Prix,TSU,88.167,14,SOFT
2024,Miami Grand Prix,VER,87.241,14,SOFT
2024,Miami Grand Prix,ZHO,88.824,5,SOFT
2024,Monaco Grand Prix,ALB,70.948,28,SOFT
2024,Monaco Grand Prix,ALO,72.019,8,SOFT
2024,Monaco Grand Prix,BOT,72.512,10,SOFT
2024,Monaco Grand Prix,GAS,70.896,21,SOFT
2024,Monaco Grand Prix,HAM,70.621,27,SOFT
2024,Monaco Grand Prix,HUL,71.44,19,SOFT
2024,Monaco Grand Prix,LEC,70.27,25,SOFT
2024,Monaco Grand Prix,MAG,71.725,13,SOFT
2024,Monaco Grand Prix,NOR,70.542,26,SOFT
2024,Monaco Grand Prix,OCO,71.285,15,SOFT
2024,Monaco Grand Prix,PER,72.06,9,SOFT
2024,Monaco Grand Prix,PIA,70.424,23,SOFT
2024,Monaco Grand Prix,RIC,71.482,20,SOFT
2024,Monaco Grand Prix,RUS,70.543,27,SOFT
2024,Monaco Grand Prix,SAI,70.518,27,SOFT
2024,Monaco Grand Prix,SAR,72.02,11,SOFT
2024,Monaco Grand Prix,STR,71.563,13,SOFT
2024,Monaco Grand Prix,TSU,70.858,24,SOFT
2024,Monaco Grand Prix,VER,70.567,24,SOFT
2024,Monaco Grand Prix,ZHO,73.028,10,SOFT
2024,Qatar Grand Prix,ALB,82.39,8,SOFT
2024,Qatar Grand Prix,ALO,81.208,12,SOFT
2024,Qatar Grand Prix,BOT,81.731,18,SOFT
2024,Qatar Grand Prix,COL,82.594,8,SOFT
2024,Qatar Grand Prix,GAS,81.437,13,SOFT
2024,Qatar Grand Prix,HAM,81.011,22,SOFT
2024,Qatar Grand Prix,HUL,82.442,6,SOFT
2024,Qatar Grand Prix,LAW,82.411,5,SOFT
2024,Qatar Grand Prix,LEC,80.852,25,SOFT
2024,Qatar Grand Prix,MAG,81.387,18,SOFT
2024,Qatar Grand Prix,NOR,80.772,21,SOFT
2024,Qatar Grand Prix,OCO,82.714,9,SOFT
2024,Qatar Grand Prix,PER,81.425,12,SOFT
2024,Qatar Grand Prix,PIA,80.829,21,SOFT
2024,Qatar Grand Prix,RUS,80.575,23,SOFT
2024,Qatar Grand Prix,SAI,81.041,25,SOFT
2024,Qatar Grand Prix,STR,81.911,13,SOFT
2024,Qatar Grand Prix,TSU,81.771,15,SOFT
2024,Qatar Grand Prix,VER,80.52,21,SOFT
2024,Qatar Grand Prix,ZHO,81.501,18,SOFT
2024,Saudi Arabian Grand Prix,ALB,88.98,15,SOFT
2024,Saudi Arabian Grand Prix,ALO,87.846,16,SOFT
2024,Saudi Arabian Grand Prix,BEA,88.642,17,SOFT
2024,Saudi Arabian Grand Prix,BOT,89.179,7,SOFT
2024,Saudi Arabian Grand Prix,GAS,89.479,5,SOFT
2024,Saudi Arabian Grand Prix,HAM,88.46,23,SOFT
2024,Saudi Arabian Grand Prix,HUL,89.055,7,SOFT
2024,Saudi Arabian Grand Prix,LEC,87.791,22,SOFT
2024,Saudi Arabian Grand Prix,MAG,89.02,13,SOFT
2024,Saudi Arabian Grand Prix,NOR,88.132,21,SOFT
2024,Saudi Arabian Grand Prix,OCO,89.475,9,SOFT
2024,Saudi Arabian Grand Prix,PER,87.807,15,SOFT
2024,Saudi Arabian Grand Prix,PIA,88.089,21,SOFT
2024,Saudi Arabian Grand Prix,RIC,89.025,8,SOFT
2024,Saudi Arabian Grand Prix,RUS,88.316,19,SOFT
2024,Saudi Arabian Grand Prix,SAR,89.526,8,SOFT
2024,Saudi Arabian Grand Prix,STR,88.25,7,SOFT
2024,Saudi Arabian Grand Prix,TSU,88.547,17,SOFT
2024,Saudi Arabian Grand Prix,VER,87.472,14,SOFT
2024,Saudi Arabian Grand Prix,ZHO,121.101,2,SOFT
2024,Singapore Grand Prix,ALB,90.474,11,SOFT
2024,Singapore Grand Prix,ALO,90.214,16,SOFT
2024,Singapore Grand Prix,BOT,91.572,8,SOFT
2024,Singapore Grand Prix,COL,90.481,11,SOFT
2024,Singapore Grand Prix,GAS,91.312,8,SOFT
2024,Singapore Grand Prix,HAM,89.841,15,SOFT
2024,Singapore Grand Prix,HUL,90.115,17,SOFT
2024,Singapore Grand Prix,LEC,89.747,13,SOFT
2024,Singapore Grand Prix,MAG,90.653,11,SOFT
2024,Singapore Grand Prix,NOR,89.525,15,SOFT
2024,Singapore Grand Prix,OCO,90.769,14,SOFT
2024,Singapore Grand Prix,PER,90.579,13,SOFT
2024,Singapore Grand Prix,PIA,89.64,11,SOFT
2024,Singapore Grand Prix,RIC,91.085,5,SOFT
2024,Singapore Grand Prix,RUS,89.867,16,SOFT
2024,Singapore Grand Prix,SAI,90.108,14,SOFT
2024,Singapore Grand Prix,STR,91.094,5,SOFT
2024,Singapore Grand Prix,TSU,90.289,11,SOFT
2024,Singapore Grand Prix,VER,89.68,11,SOFT
2024,Singapore Grand Prix,ZHO,92.054,8,SOFT
2024,Spanish Grand Prix,ALB,73.153,5,SOFT
2024,Spanish Grand Prix,ALO,72.128,11,SOFT
2024,Spanish Grand Prix,BOT,72.227,11,SOFT
2024,Spanish Grand Prix,GAS,71.857,17,SOFT
2024,Spanish Grand Prix,HAM,71.701,17,SOFT
2024,Spanish Grand Prix,HUL,72.31,11,SOFT
2024,Spanish Grand Prix,LEC,71.731,11,SOFT
2024,Spanish Grand Prix,MAG,72.937,5,SOFT
2024,Spanish Grand Prix,NOR,71.383,11,SOFT
2024,Spanish Grand Prix,OCO,72.109,11,SOFT
2024,Spanish Grand Prix,PER,72.054,11,SOFT
2024,Spanish Grand Prix,PIA,72.011,8,SOFT
2024,Spanish Grand Prix,RIC,73.075,8,SOFT
2024,Spanish Grand Prix,RUS,71.703,15,SOFT
2024,Spanish Grand Prix,SAI,71.736,11,SOFT
2024,Spanish Grand Prix,SAR,73.509,8,SOFT
2024,Spanish Grand Prix,STR,72.372,14,SOFT
2024,Spanish Grand Prix,TSU,72.985,8,SOFT
2024,Spanish Grand Prix,VER,71.403,11,SOFT
2024,Spanish Grand Prix,ZHO,72.738,14,SOFT
2024,São Paulo Grand Prix,ALB,84.657,24,INTERMEDIATE
2024,São Paulo Grand Prix,ALO,85.035,17,INTERMEDIATE
2024,São Paulo Grand Prix,BEA,91.229,10,WET
2024,São Paulo Grand Prix,BOT,86.472,20,INTERMEDIATE
2024,São Paulo Grand Prix,COL,91.27,3,WET
2024,São Paulo Grand Prix,GAS,89.42,12,WET
2024,São Paulo Grand Prix,HAM,91.15,10,WET
2024,São Paulo Grand Prix,HUL,91.623,10,WET
2024,São Paulo Grand Prix,LAW,84.484,29,INTERMEDIATE
2024,São Paulo Grand Prix,LEC,84.525,28,INTERMEDIATE
2024,São Paulo Grand Prix,NOR,83.405,32,INTERMEDIATE
2024,São Paulo Grand Prix,OCO,84.475,30,INTERMEDIATE
2024,São Paulo Grand Prix,PER,88.158,12,WET
2024,São Paulo Grand Prix,PIA,84.686,22,INTERMEDIATE
2024,São Paulo Grand Prix,RUS,83.578,28,INTERMEDIATE
2024,São Paulo Grand Prix,SAI,89.406,13,WET
2024,São Paulo Grand Prix,STR,86.334,18,INTERMEDIATE
2024,São Paulo Grand Prix,TSU,84.111,29,INTERMEDIATE
2024,São Paulo Grand Prix,VER,87.771,13,WET
2024,São Paulo Grand Prix,ZHO,92.263,11,WET
2024,United States Grand Prix,ALB,94.051,7,SOFT
2024,United States Grand Prix,ALO,93.309,17,SOFT
2024,United States Grand Prix,BOT,94.152,8,SOFT
2024,United States Grand Prix,COL,94.062,3,SOFT
2024,United States Grand Prix,GAS,93.018,17,SOFT
2024,United States Grand Prix,HAM,94.154,5,SOFT
2024,United States Grand Prix,HUL,93.544,8,SOFT
