season,race,driver,fp2_mean_lap,fp2_std_lap,fp2_best_lap,fp2_laps_count,best_quali_lap,best_quali_lap_number,best_quali_compound,fp2_deg_slope,dnf
2024,Dutch Grand Prix,LEC,87.56078571,20.40730876,71.443,28,70.582,23,SOFT,1.683360294,0
2024,Dutch Grand Prix,MAG,89.3337,24.36822284,71.43,30,71.295,11,SOFT,-1.490688889,0
2024,Dutch Grand Prix,NOR,85.5493871,18.40558299,70.961,31,69.673,13,SOFT,1.375528788,0
2024,Dutch Grand Prix,OCO,85.42955172,16.58721011,72.061,29,71.995,8,SOFT,0.625447241,0
2024,Dutch Grand Prix,PER,91.07134615,21.16838134,71.581,26,70.416,16,SOFT,-2.913542857,0
2024,Dutch Grand Prix,PIA,84.31072414,14.38944875,70.763,29,70.172,15,SOFT,1.08716443,0
2024,Dutch Grand Prix,RIC,85.36859259,16.550936,71.63,27,71.943,8,SOFT,-0.078253846,0
2024,Dutch Grand Prix,RUS,91.44536,22.71451312,70.702,25,70.244,17,SOFT,-2.187837912,0
2024,Dutch Grand Prix,SAI,100.4301667,23.41603445,73.108,6,70.914,17,SOFT,,0
2024,Dutch Grand Prix,STR,89.14271429,20.12239798,71.576,28,70.661,15,SOFT,0.781337662,0
2024,Dutch Grand Prix,TSU,87.043,18.28440855,71.374,28,70.955,14,SOFT,0.368093254,0
2024,Dutch Grand Prix,VER,84.78126667,16.32947037,70.986,30,70.029,13,SOFT,0.720020529,0
2024,Dutch Grand Prix,ZHO,89.204,20.52856652,71.934,30,73.261,8,SOFT,0.457414636,0
2024,Emilia Romagna Grand Prix,ALB,96.06114286,21.69853327,77.135,21,76.2,11,SOFT,2.749469481,0
2024,Emilia Romagna Grand Prix,ALO,94.83007692,18.93300133,76.838,26,76.917,2,SOFT,2.415038711,0
2024,Emilia Romagna Grand Prix,BOT,94.01956,18.01561329,77.088,25,76.626,5,SOFT,0.893630037,0
2024,Emilia Romagna Grand Prix,GAS,95.7492069,18.28343259,77.064,29,76.015,5,SOFT,1.913882143,0
2024,Emilia Romagna Grand Prix,HAM,95.46247826,24.04511785,76.297,23,75.504,19,SOFT,0.22633171,0
2024,Emilia Romagna Grand Prix,HUL,93.0385,18.85355389,76.826,24,75.569,14,SOFT,-0.79895,0
2024,Emilia Romagna Grand Prix,LEC,96.83834615,24.66172736,75.906,26,74.97,20,SOFT,3.484898901,0
2024,Emilia Romagna Grand Prix,MAG,93.92827586,20.91129638,77.129,29,76.854,5,SOFT,1.045873529,0
2024,Emilia Romagna Grand Prix,NOR,88.71684615,17.98221815,76.98,26,74.837,18,SOFT,0.275780252,0
